League,Season,Date,HomeTeam,AwayTeam,Predicted,Actual,Correct,HomeProb,DrawProb,AwayProb,Confidence,MarketHome,MarketDraw,MarketAway,MLHome,MLDraw,MLAway,PoissonHome,PoissonDraw,PoissonAway,LambdaHome,LambdaAway
N1,2010/11,06/08/10,Roda,Twente,A,D,0,0.3144379049796263,0.3119372193887018,0.3736248756316719,0.3736248756316719,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3136505954648885,0.31104571464100883,0.3753036898941027,0.2841264886622213,0.277614286602522,0.43825922473525675,1.4699375,1.13893125
F1,2010/11,07/08/10,Auxerre,Lorient,A,D,0,0.3144379049796263,0.3119372193887018,0.3736248756316719,0.3736248756316719,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3136505954648885,0.31104571464100883,0.3753036898941027,0.2841264886622213,0.277614286602522,0.43825922473525675,1.4699375,1.13893125
F1,2010/11,07/08/10,Lens,Nancy,A,A,1,0.3520689750663279,0.2889563980417133,0.3589746268919589,0.3589746268919589,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3528496268052026,0.2871073590712291,0.3600430141235683,0.3821240670130065,0.21776839767807274,0.40010753530892074,2.0275,1.98075
F1,2010/11,07/08/10,Lyon,Monaco,H,D,0,0.3889515378168736,0.2939697534682194,0.31707870871490706,0.3889515378168736,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.39126896300368774,0.292329604307173,0.3164014326891393,0.4781724075092193,0.2308240107679325,0.29100358172284824,1.520625,1.98075
F1,2010/11,07/08/10,Marseille,Caen,H,A,0,0.3692008415538195,0.31917531549092987,0.3116238429552506,0.3692008415538195,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3706953210630064,0.31858539808082975,0.3107192808561638,0.4267383026575161,0.2964634952020744,0.2767982021404095,1.01375,1.3205
F1,2010/11,07/08/10,Nice,Valenciennes,H,D,0,0.38642110430295423,0.3126828418748518,0.30089605382219403,0.38642110430295423,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3886330947600217,0.3118224047307484,0.29954450050922987,0.4715827369000543,0.27955601182687106,0.24886125127307468,1.01375,1.4855625
F1,2010/11,07/08/10,Paris Saint-Germain,St Etienne,H,H,1,0.3734897293454331,0.3284158013159065,0.2980944693386605,0.3734897293454331,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3751629125126039,0.3282109041485136,0.29662618333888247,0.43790728128150974,0.32052726037128415,0.24156545834720614,0.8109999999999999,1.18845
F1,2010/11,07/08/10,Rennes,Lille,A,D,0,0.3370334394452915,0.3207963691812771,0.3421701913734315,0.3421701913734315,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3371876105332897,0.32027399567494136,0.342538393791769,0.3429690263332243,0.3006849891873534,0.3563459844794224,1.1827083333333333,1.1554375000000001
F1,2010/11,07/08/10,Sochaux,Arles,A,H,0,0.33637382592610615,0.32217596117702957,0.34145021289686434,0.34145021289686434,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3365005131174717,0.3217110706705169,0.34178841621201145,0.3412512827936792,0.30427767667629224,0.3544710405300286,1.1585714285714284,1.131857142857143
F1,2010/11,07/08/10,Toulouse,Brest,A,H,0,0.3261305537747952,0.31917109560336265,0.35469835062184224,0.35469835062184224,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.32583043795985606,0.31858100236461384,0.3555885596755301,0.31457609489964017,0.2964525059115346,0.3889713991888253,1.2671875,1.114171875
N1,2010/11,07/08/10,Graafschap,Excelsior,D,H,0,0.299999485028815,0.3612368045728062,0.3387637103983788,0.3612368045728062,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2986105746827934,0.3623994492077842,0.3389899761094224,0.24652643670698343,0.40599862301946055,0.347474940273556,0.7603125,0.594225
N1,2010/11,07/08/10,Heerenveen,PSV,A,A,1,0.25746901286422785,0.31027183448848855,0.43225915264728354,0.43225915264728354,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2543079995113485,0.3093109387032867,0.4363810617853649,0.1357699987783712,0.2732773467582167,0.5909526544634122,1.520625,0.594225
N1,2010/11,07/08/10,Heracles,Willem II,A,H,0,0.30705047128627444,0.31829195224348583,0.3746575764702397,0.3746575764702397,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3059553520343137,0.3176652280314089,0.3763794199342775,0.26488838008578414,0.29416307007852227,0.44094854983569365,1.3516666666666666,0.990375
N1,2010/11,07/08/10,Nijmegen,VVV Venlo,A,H,0,0.2606743745409483,0.2989013125736856,0.4404243128853662,0.4404243128853662,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2576469179245988,0.2974666450420336,0.44488643703336755,0.14411729481149715,0.24366661260508396,0.6122160925834189,1.7740624999999999,0.74278125
F1,2010/11,08/08/10,Montpellier,Bordeaux,A,H,0,0.30705047128627444,0.31829195224348583,0.3746575764702397,0.3746575764702397,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3059553520343137,0.3176652280314089,0.3763794199342775,0.26488838008578414,0.29416307007852227,0.44094854983569365,1.3516666666666666,0.990375
N1,2010/11,08/08/10,Feyenoord,Utrecht,A,H,0,0.25348246958801385,0.3044329166747714,0.44208461373721475,0.44208461373721475,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2501553502652922,0.3032287326473313,0.44661591708737647,0.12538837566323047,0.2580718316183283,0.6165397927184413,1.6219999999999999,0.594225
N1,2010/11,08/08/10,Groningen,Ajax,A,D,0,0.25060430275826345,0.2932928045036365,0.4561028927381001,0.4561028927381001,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2471572598176355,0.29162444913573243,0.46121829104663203,0.11789314954408878,0.22906112283933108,0.6530457276165802,1.8585416666666665,0.66025
N1,2010/11,08/08/10,NAC Breda,AZ Alkmaar,A,D,0,0.26520411317423087,0.2954135229931649,0.43938236383260415,0.43938236383260415,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.26236539566760164,0.29383353089565795,0.4438010734367405,0.15591348916900402,0.23458382723914484,0.6095026835918512,1.8826785714285714,0.8488928571428571
N1,2010/11,08/08/10,Vitesse,Den Haag,A,H,0,0.2714899704198474,0.3003718334053457,0.42813819617480686,0.42813819617480686,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2689131636317855,0.2989984375750129,0.4320883987932017,0.17228290907946378,0.24749609393753214,0.5802209969830042,1.7740624999999999,0.866578125
E0,2010/11,14/08/10,Aston Villa,West Ham United,A,H,0,0.3144379049796263,0.3119372193887018,0.3736248756316719,0.3736248756316719,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3136505954648885,0.31104571464100883,0.3753036898941027,0.2841264886622213,0.277614286602522,0.43825922473525675,1.4699375,1.13893125
E0,2010/11,14/08/10,Blackburn,Everton,A,H,0,0.22115930601945966,0.24680804074867813,0.5320326532318623,0.5320326532318623,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2164853882147149,0.24320282022431747,0.5403117915609676,0.04121347053678734,0.10800705056079371,0.850779478902419,3.04125,0.594225
E0,2010/11,14/08/10,Bolton,Fulham,A,D,0,0.24035821005045122,0.2835190924686743,0.47612269748087455,0.47612269748087455,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.23648424658033113,0.2814434990993135,0.4820722543203554,0.09121061645082781,0.20360874774828372,0.7051806358008885,2.0275,0.594225
E0,2010/11,14/08/10,Chelsea,West Bromwich Albion,A,H,0,0.26485927095621925,0.32054199264503214,0.4145987363987485,0.4145987363987485,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.26200618502383954,0.32000902011635296,0.4179847948598076,0.1550154625595988,0.3000225502908824,0.5449619871495188,1.3516666666666666,0.594225
E0,2010/11,14/08/10,Sunderland,Birmingham,A,D,0,0.2288652838979453,0.26261767896149324,0.5085170371405615,0.5085170371405615,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22451244850480412,0.25967119336266653,0.5158163581325294,0.06128112126201036,0.14917798340666633,0.7895408953313233,2.534375,0.594225
E0,2010/11,14/08/10,Tottenham Hotspur,Manchester City,A,D,0,0.23081244670373852,0.2663615843075717,0.5028259689886898,0.5028259689886898,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22654074309417205,0.2635710947648316,0.5098881621409963,0.06635185773543013,0.15892773691207898,0.7747204053524909,2.433,0.594225
E0,2010/11,14/08/10,Wigan,Blackpool,A,A,1,0.24035821005045122,0.2835190924686743,0.47612269748087455,0.47612269748087455,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.23648424658033113,0.2814434990993135,0.4820722543203554,0.09121061645082781,0.20360874774828372,0.7051806358008885,2.0275,0.594225
E0,2010/11,14/08/10,Wolverhampton Wanderers,Stoke,A,H,0,0.27158692969140996,0.3018305875877879,0.42658248272080224,0.42658248272080224,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.26901416287299645,0.3005179731817235,0.4304678639452801,0.17253540718249108,0.25129493295430877,0.5761696598632001,1.7378571428571425,0.8488928571428571
F1,2010/11,14/08/10,Arles,Lens,A,A,1,0.2986009668657238,0.3210034398496257,0.38039559328465067,0.38039559328465067,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.29715378492957334,0.32048969428780455,0.3823565207826222,0.24288446232393326,0.30122423571951124,0.4558913019565554,1.3185548917853918,0.8910080139809256
F1,2010/11,14/08/10,Brest,Auxerre,A,D,0,0.30825256608913065,0.32647998206050166,0.3652674518503677,0.3652674518503677,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3072075341206222,0.32619442575746704,0.3665980401219107,0.26801883530155557,0.31548606439366755,0.4164951003047768,1.1931798719273443,0.9029730759552062
F1,2010/11,14/08/10,Lorient,Nice,A,A,1,0.30945466782301834,0.32682581372820463,0.36371951844877703,0.36371951844877703,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3084597234267552,0.32655466707799097,0.3649856094952538,0.27114930856688807,0.31638666769497736,0.4124640237381345,1.1833184926279159,0.9075081623879797
F1,2010/11,14/08/10,Nancy,Rennes,A,A,1,0.3190886323743313,0.3253984476006845,0.35551292002498414,0.35551292002498414,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3184951031677063,0.32506782736182416,0.35643706947046966,0.2962377579192657,0.3126695684045603,0.391092673676174,1.1747106632738429,0.9873421976138687
F1,2010/11,14/08/10,St Etienne,Sochaux,H,H,1,0.3436560074932629,0.32435816884341717,0.33198582366331997,0.3436560074932629,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3440861189165933,0.32398420365633734,0.3319296774270694,0.36021529729148316,0.3099605091408433,0.3298241935676735,1.0776473106733027,1.13821381755441
F1,2010/11,14/08/10,Valenciennes,Marseille,A,H,0,0.3371289109037811,0.31887941609536397,0.34399167300085487,0.34399167300085487,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3372870599692165,0.31827716954378193,0.3444357704870016,0.34321764992304127,0.2956929238594548,0.36108942621750406,1.2216990898047966,1.1848106371366423
N1,2010/11,14/08/10,Ajax,Vitesse,A,H,0,0.26700886730412055,0.2948035238191273,0.4381876088767523,0.4381876088767523,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.26424534788623666,0.29319811508936866,0.4425565370243947,0.1606133697155917,0.23299528772342168,0.6063913425609867,1.9070481713710543,0.882907007600646
N1,2010/11,14/08/10,AZ Alkmaar,Groningen,A,D,0,0.26630081517542276,0.28734095945233384,0.44635822537224346,0.44635822537224346,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2635077935855098,0.2854246105406255,0.4510675958738647,0.1587694839637745,0.2135615263515638,0.6276689896846617,2.1299732867302485,0.9900089044232506
N1,2010/11,14/08/10,PSV,Graafschap,A,H,0,0.2706068725804649,0.29122529450136697,0.43816783291816813,0.43816783291816813,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2679932700490954,0.2894707928833684,0.4425359370675363,0.16998317512273836,0.22367698220842094,0.6063398426688407,2.027590766730372,0.9903432316443698
N1,2010/11,14/08/10,Twente,Heerenveen,A,D,0,0.25126857461566077,0.27670037823107063,0.4720310471532686,0.4720310471532686,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2478492096690911,0.2743406717684763,0.4778101185624326,0.11962302417272781,0.18585167942119082,0.6945252964060814,2.377800817195259,0.9044381086046371
N1,2010/11,14/08/10,VVV Venlo,Heracles,A,H,0,0.2540209746580538,0.28352818448019274,0.4624508408617536,0.4624508408617536,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25071629304658377,0.2814529699446452,0.4678307370087711,0.12679073261645948,0.20363242486161298,0.6695768425219276,2.1650489598905227,0.8430730744916446
E0,2010/11,15/08/10,Liverpool,Arsenal,A,D,0,0.2714899704198474,0.3003718334053457,0.42813819617480686,0.42813819617480686,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2689131636317855,0.2989984375750129,0.4320883987932017,0.17228290907946378,0.24749609393753214,0.5802209969830042,1.7740624999999999,0.866578125
F1,2010/11,15/08/10,Bordeaux,Toulouse,A,A,1,0.335858477698079,0.31467736546897734,0.34946415683294374,0.34946415683294374,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33596369204661003,0.31390003347462914,0.35013627447876083,0.3399092301165252,0.2847500836865728,0.3753406861969021,1.320117955574796,1.244921362950136
F1,2010/11,15/08/10,Caen,Lyon,A,H,0,0.3394194269277619,0.31399872870170187,0.3465818443705363,0.3465818443705363,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33967301416086304,0.3131931201753839,0.34713386566375304,0.34918253540215755,0.28298280043845975,0.3678346641593827,1.3175186262600749,1.2777369616179477
F1,2010/11,15/08/10,Lille,Paris Saint-Germain,A,D,0,0.3377261729513168,0.3108292023002673,0.351444624748416,0.351444624748416,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3379092079353994,0.30989153017388954,0.3521992618907111,0.3447730198384985,0.27472882543472377,0.38049815472677767,1.4022413024787164,1.324360511400969
N1,2010/11,15/08/10,Den Haag,Roda,A,A,1,0.25194307166310614,0.28527213975159516,0.46278478858529876,0.46278478858529876,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.24855181076018,0.28326959001902274,0.4681785992207973,0.12137952690045001,0.2081739750475568,0.6704464980519932,2.0913427425539717,0.7804267299327139
