League,Season,Date,HomeTeam,AwayTeam,Rank,PredScore,Probability,ActualScore,Hit,AbsGoalError
N1,2010/11,06/08/10,Roda,Twente,1,1-1,0.13249492498191995,0-0,0,2
N1,2010/11,06/08/10,Roda,Twente,2,1-0,0.09897261480867313,0-0,0,1
N1,2010/11,06/08/10,Roda,Twente,3,2-1,0.09058570176307486,0-0,0,3
F1,2010/11,07/08/10,Auxerre,Lorient,1,1-1,0.13249492498191995,2-2,0,2
F1,2010/11,07/08/10,Auxerre,Lorient,2,1-0,0.09897261480867313,2-2,0,3
F1,2010/11,07/08/10,Auxerre,Lorient,3,2-1,0.09058570176307486,2-2,0,1
F1,2010/11,07/08/10,Lens,Nancy,1,1-1,0.07845996677122218,1-2,0,1
F1,2010/11,07/08/10,Lens,Nancy,2,2-1,0.07398957331565256,1-2,0,2
F1,2010/11,07/08/10,Lens,Nancy,3,2-2,0.07327742367248942,1-2,0,1
F1,2010/11,07/08/10,Lyon,Monaco,1,1-1,0.09766567168954428,0-0,0,2
F1,2010/11,07/08/10,Lyon,Monaco,2,1-2,0.08997733916235576,0-0,0,3
F1,2010/11,07/08/10,Lyon,Monaco,3,2-1,0.06907574977344802,0-0,0,3
F1,2010/11,07/08/10,Marseille,Caen,1,1-1,0.13942186058115824,1-2,0,1
F1,2010/11,07/08/10,Marseille,Caen,2,0-1,0.11820853244065917,1-2,0,2
F1,2010/11,07/08/10,Marseille,Caen,3,0-0,0.10661134660732942,1-2,0,3
F1,2010/11,07/08/10,Nice,Valenciennes,1,1-1,0.13298552181251236,0-0,0,2
F1,2010/11,07/08/10,Nice,Valenciennes,2,0-1,0.11275149609814336,0-0,0,1
F1,2010/11,07/08/10,Nice,Valenciennes,3,1-2,0.09188758337097691,0-0,0,3
F1,2010/11,07/08/10,Paris Saint-Germain,St Etienne,1,0-1,0.15113998635786743,3-1,0,3
F1,2010/11,07/08/10,Paris Saint-Germain,St Etienne,2,0-0,0.14519884837733776,3-1,0,4
F1,2010/11,07/08/10,Paris Saint-Germain,St Etienne,3,1-1,0.14030145458135893,3-1,0,2
F1,2010/11,07/08/10,Rennes,Lille,1,1-1,0.14177256231017946,1-1,1,0
F1,2010/11,07/08/10,Rennes,Lille,2,0-0,0.10639828532834734,1-1,0,2
F1,2010/11,07/08/10,Rennes,Lille,3,1-0,0.1042487326735317,1-1,0,1
F1,2010/11,07/08/10,Sochaux,Arles,1,1-1,0.1426938728283758,2-1,0,1
F1,2010/11,07/08/10,Sochaux,Arles,2,0-0,0.11117913844369044,2-1,0,3
F1,2010/11,07/08/10,Sochaux,Arles,3,1-0,0.10731956044570727,2-1,0,2
F1,2010/11,07/08/10,Toulouse,Brest,1,1-1,0.1402796628903577,2-0,0,2
F1,2010/11,07/08/10,Toulouse,Brest,2,1-0,0.10733385424965536,2-0,0,1
F1,2010/11,07/08/10,Toulouse,Brest,3,0-0,0.10221274457351656,2-0,0,2
N1,2010/11,07/08/10,Graafschap,Excelsior,1,0-0,0.26681118176795604,3-0,0,3
N1,2010/11,07/08/10,Graafschap,Excelsior,2,1-0,0.18746678048065749,3-0,0,2
N1,2010/11,07/08/10,Graafschap,Excelsior,3,0-1,0.1446051345768952,3-0,0,4
N1,2010/11,07/08/10,Heerenveen,PSV,1,1-0,0.17529442988124452,1-3,0,3
N1,2010/11,07/08/10,Heerenveen,PSV,2,2-0,0.1394954212196523,1-3,0,4
N1,2010/11,07/08/10,Heerenveen,PSV,3,0-0,0.12883183981743132,1-3,0,4
N1,2010/11,07/08/10,Heracles,Willem II,1,1-1,0.13834000883197523,3-0,0,3
N1,2010/11,07/08/10,Heracles,Willem II,2,1-0,0.12028741508033677,3-0,0,2
N1,2010/11,07/08/10,Heracles,Willem II,3,0-0,0.10578408988209904,3-0,0,3
N1,2010/11,07/08/10,Nijmegen,VVV Venlo,1,1-0,0.13522794229418755,1-0,1,0
N1,2010/11,07/08/10,Nijmegen,VVV Venlo,2,2-0,0.1270279596893674,1-0,0,1
N1,2010/11,07/08/10,Nijmegen,VVV Venlo,3,1-1,0.11434832277244378,1-0,0,1
F1,2010/11,08/08/10,Montpellier,Bordeaux,1,1-1,0.13834000883197523,1-0,0,1
F1,2010/11,08/08/10,Montpellier,Bordeaux,2,1-0,0.12028741508033677,1-0,1,0
F1,2010/11,08/08/10,Montpellier,Bordeaux,3,0-0,0.10578408988209904,1-0,0,1
N1,2010/11,08/08/10,Feyenoord,Utrecht,1,1-0,0.16895798323393885,3-1,0,3
N1,2010/11,08/08/10,Feyenoord,Utrecht,2,2-0,0.14341655194624364,3-1,0,2
N1,2010/11,08/08/10,Feyenoord,Utrecht,3,0-0,0.11690653926348091,3-1,0,4
N1,2010/11,08/08/10,Groningen,Ajax,1,1-0,0.14232425636117493,2-2,0,3
N1,2010/11,08/08/10,Groningen,Ajax,2,2-0,0.1391482265560694,2-2,0,2
N1,2010/11,08/08/10,Groningen,Ajax,3,1-1,0.10628017073682484,2-2,0,2
N1,2010/11,08/08/10,NAC Breda,AZ Alkmaar,1,2-0,0.11542037266069513,1-1,0,2
N1,2010/11,08/08/10,NAC Breda,AZ Alkmaar,2,1-0,0.11480654165480637,1-1,0,1
N1,2010/11,08/08/10,NAC Breda,AZ Alkmaar,3,1-1,0.11189163807663727,1-1,1,0
N1,2010/11,08/08/10,Vitesse,Den Haag,1,1-0,0.11830712682764656,3-1,0,3
N1,2010/11,08/08/10,Vitesse,Den Haag,2,1-1,0.1178724738011505,3-1,0,2
N1,2010/11,08/08/10,Vitesse,Den Haag,3,2-0,0.11223676285730748,3-1,0,2
E0,2010/11,14/08/10,Aston Villa,West Ham United,1,1-1,0.13249492498191995,3-0,0,3
E0,2010/11,14/08/10,Aston Villa,West Ham United,2,1-0,0.09897261480867313,3-0,0,2
E0,2010/11,14/08/10,Aston Villa,West Ham United,3,2-1,0.09058570176307486,3-0,0,2
E0,2010/11,14/08/10,Blackburn,Everton,1,3-0,0.12414920982552921,1-0,0,2
E0,2010/11,14/08/10,Blackburn,Everton,2,2-0,0.12246531178843818,1-0,0,1
E0,2010/11,14/08/10,Blackburn,Everton,3,4-0,0.09439219609547268,1-0,0,3
E0,2010/11,14/08/10,Bolton,Fulham,1,2-0,0.14941867050854163,0-0,0,2
E0,2010/11,14/08/10,Bolton,Fulham,2,1-0,0.1408232279135105,0-0,0,1
E0,2010/11,14/08/10,Bolton,Fulham,3,3-0,0.10098211815202271,0-0,0,3
E0,2010/11,14/08/10,Chelsea,West Bromwich Albion,1,1-0,0.1844952859029337,6-0,0,5
E0,2010/11,14/08/10,Chelsea,West Bromwich Albion,2,0-0,0.1514674730985905,6-0,0,6
E0,2010/11,14/08/10,Chelsea,West Bromwich Albion,3,2-0,0.1305042297503198,6-0,0,4
E0,2010/11,14/08/10,Sunderland,Birmingham,1,2-0,0.1407737741671037,2-2,0,2
E0,2010/11,14/08/10,Sunderland,Birmingham,2,3-0,0.11892451130158448,2-2,0,3
E0,2010/11,14/08/10,Sunderland,Birmingham,3,1-0,0.10614050956983094,2-2,0,3
E0,2010/11,14/08/10,Tottenham Hotspur,Manchester City,1,2-0,0.14353524346923716,0-0,0,2
E0,2010/11,14/08/10,Tottenham Hotspur,Manchester City,2,3-0,0.1164070824535513,0-0,0,3
E0,2010/11,14/08/10,Tottenham Hotspur,Manchester City,3,1-0,0.11273187522848259,0-0,0,1
E0,2010/11,14/08/10,Wigan,Blackpool,1,2-0,0.14941867050854163,0-4,0,6
E0,2010/11,14/08/10,Wigan,Blackpool,2,1-0,0.1408232279135105,0-4,0,5
E0,2010/11,14/08/10,Wigan,Blackpool,3,3-0,0.10098211815202271,0-4,0,7
E0,2010/11,14/08/10,Wolverhampton Wanderers,Stoke,1,1-0,0.1224813600578677,2-1,0,2
E0,2010/11,14/08/10,Wolverhampton Wanderers,Stoke,2,1-1,0.11937159514773596,2-1,0,1
E0,2010/11,14/08/10,Wolverhampton Wanderers,Stoke,3,2-0,0.11366420831293507,2-1,0,1
F1,2010/11,14/08/10,Arles,Lens,1,1-1,0.13860916144443922,0-1,0,1
F1,2010/11,14/08/10,Arles,Lens,2,1-0,0.13504069902171204,0-1,0,2
F1,2010/11,14/08/10,Arles,Lens,3,0-0,0.11942018383871783,0-1,0,1
F1,2010/11,14/08/10,Brest,Auxerre,1,1-1,0.1423782841767307,1-1,1,0
