League,SeasonStart,Source,Available,Matched,Season,Matches,SofaScore_no_event
D1,2010.0,Understat,0.0,0.0,,,
D1,2011.0,Understat,0.0,0.0,,,
D1,2012.0,Understat,0.0,0.0,,,
D1,2013.0,Understat,0.0,0.0,,,
D1,2014.0,Understat,0.0,0.0,,,
D1,2015.0,Understat,0.0,0.0,,,
D1,2016.0,Understat,0.0,0.0,,,
D1,2017.0,Understat,0.0,0.0,,,
D1,2018.0,Understat,0.0,0.0,,,
D1,2019.0,Understat,0.0,0.0,,,
D1,2020.0,Understat,0.0,0.0,,,
D1,2021.0,Understat,0.0,0.0,,,
D1,2022.0,Understat,0.0,0.0,,,
D1,2023.0,Understat,0.0,0.0,,,
D1,2024.0,Understat,0.0,0.0,,,
D1,2025.0,Understat,0.0,0.0,,,
E0,2010.0,Understat,0.0,0.0,,,
E0,2011.0,Understat,0.0,0.0,,,
E0,2012.0,Understat,0.0,0.0,,,
E0,2013.0,Understat,0.0,0.0,,,
E0,2014.0,Understat,0.0,0.0,,,
E0,2015.0,Understat,0.0,0.0,,,
E0,2016.0,Understat,0.0,0.0,,,
E0,2017.0,Understat,0.0,0.0,,,
E0,2018.0,Understat,0.0,0.0,,,
E0,2019.0,Understat,0.0,0.0,,,
E0,2020.0,Understat,0.0,0.0,,,
E0,2021.0,Understat,0.0,0.0,,,
E0,2022.0,Understat,0.0,0.0,,,
E0,2023.0,Understat,0.0,0.0,,,
E0,2024.0,Understat,0.0,0.0,,,
E0,2025.0,Understat,0.0,0.0,,,
F1,2010.0,Understat,0.0,0.0,,,
F1,2011.0,Understat,0.0,0.0,,,
F1,2012.0,Understat,0.0,0.0,,,
F1,2013.0,Understat,0.0,0.0,,,
F1,2014.0,Understat,0.0,0.0,,,
F1,2015.0,Understat,0.0,0.0,,,
F1,2016.0,Understat,0.0,0.0,,,
F1,2017.0,Understat,0.0,0.0,,,
F1,2018.0,Understat,0.0,0.0,,,
F1,2019.0,Understat,0.0,0.0,,,
F1,2020.0,Understat,0.0,0.0,,,
F1,2021.0,Understat,0.0,0.0,,,
F1,2022.0,Understat,0.0,0.0,,,
F1,2023.0,Understat,0.0,0.0,,,
F1,2024.0,Understat,0.0,0.0,,,
F1,2025.0,Understat,0.0,0.0,,,
I1,2010.0,Understat,0.0,0.0,,,
I1,2011.0,Understat,0.0,0.0,,,
I1,2012.0,Understat,0.0,0.0,,,
I1,2013.0,Understat,0.0,0.0,,,
I1,2014.0,Understat,0.0,0.0,,,
I1,2015.0,Understat,0.0,0.0,,,
I1,2016.0,Understat,0.0,0.0,,,
I1,2017.0,Understat,0.0,0.0,,,
I1,2018.0,Understat,0.0,0.0,,,
I1,2019.0,Understat,0.0,0.0,,,
I1,2020.0,Understat,0.0,0.0,,,
I1,2021.0,Understat,0.0,0.0,,,
I1,2022.0,Understat,0.0,0.0,,,
I1,2023.0,Understat,0.0,0.0,,,
I1,2024.0,Understat,0.0,0.0,,,
I1,2025.0,Understat,0.0,0.0,,,
N1,2010.0,Understat,0.0,0.0,,,
N1,2011.0,Understat,0.0,0.0,,,
N1,2012.0,Understat,0.0,0.0,,,
N1,2013.0,Understat,0.0,0.0,,,
N1,2014.0,Understat,0.0,0.0,,,
N1,2015.0,Understat,0.0,0.0,,,
N1,2016.0,Understat,0.0,0.0,,,
N1,2017.0,Understat,0.0,0.0,,,
N1,2018.0,Understat,0.0,0.0,,,
N1,2019.0,Understat,0.0,0.0,,,
N1,2020.0,Understat,0.0,0.0,,,
N1,2021.0,Understat,0.0,0.0,,,
N1,2022.0,Understat,0.0,0.0,,,
N1,2023.0,Understat,0.0,0.0,,,
N1,2024.0,Understat,0.0,0.0,,,
N1,2025.0,Understat,0.0,0.0,,,
SP1,2010.0,Understat,0.0,0.0,,,
SP1,2011.0,Understat,0.0,0.0,,,
SP1,2012.0,Understat,0.0,0.0,,,
SP1,2013.0,Understat,0.0,0.0,,,
SP1,2014.0,Understat,0.0,0.0,,,
SP1,2015.0,Understat,0.0,0.0,,,
SP1,2016.0,Understat,0.0,0.0,,,
SP1,2017.0,Understat,0.0,0.0,,,
SP1,2018.0,Understat,0.0,0.0,,,
SP1,2019.0,Understat,0.0,0.0,,,
SP1,2020.0,Understat,0.0,0.0,,,
SP1,2021.0,Understat,0.0,0.0,,,
SP1,2022.0,Understat,0.0,0.0,,,
SP1,2023.0,Understat,0.0,0.0,,,
SP1,2024.0,Understat,0.0,0.0,,,
SP1,2025.0,Understat,0.0,0.0,,,
D1,,,,,2010/11,306.0,306.0
N1,,,,,2010/11,306.0,306.0
SP1,,,,,2010/11,380.0,380.0
E0,,,,,2010/11,380.0,380.0
I1,,,,,2010/11,380.0,380.0
F1,,,,,2010/11,380.0,380.0
