League,Season,Model,ValidationLogLoss
D1,2010/11,ExtraTrees,1.1627757873109805
D1,2010/11,RandomForest,1.1487951199577395
D1,2010/11,HistGB,1.3743714733212589
N1,2010/11,ExtraTrees,1.0485823534403227
N1,2010/11,RandomForest,1.0428986860402631
N1,2010/11,HistGB,1.2001484123329254
SP1,2010/11,ExtraTrees,1.0484154963649195
SP1,2010/11,RandomForest,1.027252570775257
SP1,2010/11,HistGB,1.285345295039716
E0,2010/11,ExtraTrees,1.0652733136802828
E0,2010/11,RandomForest,1.0493397701538052
E0,2010/11,HistGB,1.1825189730066912
I1,2010/11,ExtraTrees,1.0673265895384019
I1,2010/11,RandomForest,1.052483877766112
I1,2010/11,HistGB,1.16360502694638
F1,2010/11,ExtraTrees,1.0965625830091421
F1,2010/11,RandomForest,1.0820283297190045
F1,2010/11,HistGB,1.2506350307221037
